Film Adı,Türler,Özet
Dune: Çöl Gezegeni Bölüm İki,"Bilim-Kurgu, Macera","Paul Atreides, Arrakis gezegeni için mücadeleye devam ediyor ve Fremen halkının liderliğini üstleniyor. Paul, Harkonnen ailesinin saldırısından kurtulduktan sonra, Fremenlerle birlikte yaşamaya başlar. Fremenlerin yardımıyla, Arrakis'in kontrolüne yeniden sahip olmak ve evrenin kaderini değiştirmek için mücadele eder. Paul, Arrakis gezegeninin Fremen halkı tarafından Mesih olarak kabul edilir. Fremen'ler, Paul'ün liderliğinde Arrakis gezegenini özgürleştireceklerine ve galakside eşitlik ve adaleti sağlayacaklarına inanırlar."
"Narnia Günlükleri: Aslan, Cadı ve Dolap","Macera, Aile, Fantastik","Pevensie ailesi, savaş nedeni ile güvende olmadıkları ülkelerini tahliye ettiklerinde karşılaşacakları maceradan haberdar değildiler. Dört kardeş, bir profesörün yanında yaşamaya başlarlaR. Bu sırada saklambaç oynayan en küçük kardeş Lucy, kendisini Narnia topraklarına götüren bir elbise dolabı keşfeder. Karlar altındaki Narnia tuhaf ama eşsiz yaratıklarla doludur. Beyaz Cadı Jadis tarafından da gözlenmektedir. Ailenin tüm çocukları bu dolabın içinden geçtiklerinde bambaşka bir dünya kurulur içlerinde. Hayvanların dile geldiği bu dünyanın yöneticisi Aslanı bulmaları ve Cadıyı da etkisiz hale getirmeleri gerekmektedir."
Le Mangeur d'âmes,"Gerilim, Korku, Suç, Gizem",
The Silent Hour,"Suç, Gerilim, Aksiyon",
Transmorphers: Mech Beasts,"Aksiyon, Bilim-Kurgu","New Los Angeles Elektrik Santrali’nde bir güvenlik duvarı ihlali tespit edildi. Bu ihlal, jeneratörü dev bir robot aslana dönüştürür. Aslan bir ölüm ışını ateşleyebilir ve merkezdeki teknisyenlerin kontrol edilemeyen teknosapıklarla çığlık atmasına neden olabilir. Mark ve Agnes, savaş silahlarıyla dolu bir yer altı sığınağı keşfeder. Sığınak, Trevor ve Leena adında iki gencin yanı sıra bir aslan ortaya çıktığında cesurca kendini feda eden Albay Wilkes’e de ev sahipliği yapıyor. Film, mekanik bir aslanın ortaya çıkmasıyla karakterlerin mücadelelerini ve fedakarlıklarını anlatarak izleyiciyi aksiyon dolu bir bilimkurgu atmosferine sürüklüyor. Büyüleyici hikayeler ve görsel efektlerle dolu bir bilim kurgu deneyimi sunuyor."
Babygirl,Dram,
Godzilla ve Kong: Yeni İmparatorluk,"Aksiyon, Macera, Bilim-Kurgu","Kudretli Kong ve korkunç Godzilla bir araya gelerek, insan dünyasında gizlenen ve hem kendi türlerinin hem de insanlığın varoluşunu tehdit eden devasa ölümcül bir tehdide karşı birlikte savaşmak zorundadır."
Garfield,"Animasyon, Komedi, Aile, Macera, Aksiyon","Garfield'ın uzun süredir kayıp olan babası sokak kedisi Vic ile beklenmedik bir buluşma, Garfield ve sadık köpek arkadaşı Odie'yi kusursuz ve şımartılmış hayatlarından uzaklaştırır. Bu olağanüstü kesişme, ikiliyi Vic'in içinde bulunduğu komik ve yüksek riskli bir soygun planına sürükler. Garfield ve Odie, alıştıkları konfor bölgesinden çıkarak, Vic'in renkli ve tehlikeli dünyasına adım atmak zorunda kalır."
Yıldızlararası,"Macera, Dram, Bilim-Kurgu","Dünya'nın giderek yaşanmaz hale gelmesiyle başlayan tarım krizi ve doğal felaketler, insanları yok olma tehlikesiyle karşı karşıya bırakmıştır. Teknik bilgisi ve becerisi yüksek olan Cooper, geniş mısır tarlalarında çiftçilik yaparak geçinmektedir; amacı iki çocuğuna güvenli bir hayat sunmaktır. Onlarla yaşayan büyük baba Donald çocuklara göz kulak olurken, henüz 10 yaşındaki kızı Murph şaşırtıcı bir zekaya sahiptir. Geçmişte bıraktığı bilim insanı kariyerini özleyen Cooper'un karşısına bir gün beklenmedik bir teklif çıkar ve ailesinin, dahası insanlığın güvenliği için zorlu bir karar alması gerekir..."
İç Savaş,"Savaş, Aksiyon, Dram","İç Savaş, Amerika Birleşik Devletleri'nin çöküşün eşiğinde olduğu ve yerleşik gazetecilerin hayatlarının en büyük hikayesini anlatmak için yarıştığı yakın bir gelecekte geçiyor. Federal hükûmete karşı ayaklanan eyaletler tarafından oluşturulan silahlı ittifak Batı Güçleri, başkente saldırmak üzeredir. Bu süreçte dünyanın dört bir yanında vahşeti görüntüleyen savaş fotoğrafçısı Lee, içlerinde akıl hocalığını üstlendiği Jessie adında hevesli genç bir fotoğrafçının da bulunduğu küçük bir gazeteci grubu ile birlikte başkanla son bir röportaj yapma umuduyla Beyaz Saray’a gider."
365 Gün: Bugün,"Romantik, Dram","Laura ve Massimo, tutku dolu bir aşk yaşayan bir çiftir. Ancak onların ilişkileri, Massimo'nun aile bağları ve ne pahasına olursa olsun onun kalbini ve güvenini kazanmak için Laura'nın hayatına giren gizemli bir adam yüzünden karmaşıklaşır."
Kıpırdama,"Korku, Gerilim","Yas tutan bir kadının ıssız bir ormanda karşılaştığı katil, kendisine felç edici bir ilaç enjekte eder. Vücudu işlevini kaybederken, kadının ölüm kalım mücadelesi başlar."
Dominique,"Aksiyon, Gerilim","Dominique, geçmişindeki karanlık anılardan sıyrılarak Güney Amerika’da yeni bir başlangıç yapmayı hedefleyen yetenekli bir suikastçıdır. Ancak, vardığı kasabanın şiddet ve yolsuzluk sarmalında olduğunu fark etmesi uzun sürmez. Polis ve mafyanın acımasız tehditleriyle kuşatılmış durumda kalan Dominique, ya kendi hayatını kurtarmak ya da olayların ortasında kalan masum bir aileyi korumak arasında zor bir seçimle karşı karşıya kalır."
Furiosa: Bir Mad Max Destanı,"Aksiyon, Bilim-Kurgu, Macera","Genç Furiosa, dünya çökerken Nice Annelerin Yeşil Diyarı’ndan kaçırılır ve Savaş Lordu Dementus liderliğindeki büyük bir Motorcu Sürüsü'nün eline düşer. Çorak Topraklar'da ilerlerken Ölümsüz Joe'nun başkanlık ettiği Kale'ye gelirler. İki diktatör egemenlik için savaşır. Bu sırada Furiosa, eve dönüş yolunu bulmaya çalışırken birçok zorluğu aşmak zorunda kalır."
Take Cover,"Aksiyon, Gerilim","Tükenmiş profesyonel bir keskin nişancı, ölümcül bir rakip tarafından camdan bir çatı katında sıkışıp kalır ve katille arasında çok az siper varken hayatta kalmanın ve kaçmanın bir yolunu bulmalıdır."
Şarkını Söyle: Thriller,"Animasyon, Aile, Komedi","Popüler ""Şarkını Söyle"" filmlerinden karakterlerin yer aldığı bu animasyon kısa filmde Buster Moon, Michael Jackson'ın ""Thriller""ı eşliğinde yıldızlarla dolu bir şölen düşlüyor."
Havada Dehşet 1971,"Aksiyon, Gerilim, Suç","Gerçek bir olaya dayanan filmde sıradan bir Kore-Gimpo iç hat uçuşu yolculardan birinin, Yong-dae'nin(Yeo Jin-goo), bombayla uçağı kaçırmasıyla talihsiz bir yola girer. Uçak korsanı, uçağın Kuzey Kore'ye, erkek kardeşinin yaşadığı yere götürülmesini ister. Kaptan (Sung Dong-il)ilk patlamada görme yeteneğini kaybetmiştir, yardımcı pilot Tae-in kaptan koltuğuna geçer ve hem yolcuların hem de kabin görevlisi Ok-soon'un (Chae Soo-bin)hayatını kurtarmak için mücadele verir."
Gece Kasabı,"Korku, Gerilim, Aksiyon",
Odio el verano,Komedi,
The Simpsons: O C'mon All Ye Faithful,"Animasyon, Komedi","İngiliz mentalist Derren Brown Springfield'a geldiğinde işler ters gitmeye başlar. Homer hipnotize olur ve kendini Noel Baba sanmaya başlar, bu da kasabada neşeli bir zincirleme reaksiyona yol açar."
Sessiz Bir Yer: Birinci Gün,"Korku, Bilim-Kurgu, Gerilim","Sessiz Bir Yer: Birinci Gün (A Quiet Place: Day One) filminde, sese duyarlı varlıkların harekete geçmesini önlemek için en ufak bir ses yapmaktan kaçınan bir ailenin, durgun sessizliğin içinde çıkan bir ses sonucu hayatlarının kâbusa dönmesinin konu edildiği Sessiz Bir Yer (A Quiet Place) filminin öncesi konu ediliyor."
No entres,Korku,
Joker: İkili Delilik,"Dram, Suç, Gerilim","""Joker: Folie à Deux,"" Türkçe adıyla Joker: İkili Delilik, 2024 yapımı aksiyon, dram ve müzikal türünde bir devam filmi. Todd Phillips'in yönetmenliğinde çekilen film, 2019'da vizyona giren ve büyük başarı elde eden Joker filminin devamı niteliğinde. Başrolde yine Joaquin Phoenix, Arthur Fleck karakterine hayat veriyor. Ona Harley Quinn rolüyle Lady Gaga eşlik ediyor. Ayrıca Brendan Gleeson, Catherine Keener, Zazie Beetz ve Steve Coogan da önemli rollerde yer alıyor.  Joker olarak kimliğine büründükten sonra Arthur'un, Arkham Akıl Hastanesi'nde yaşadığı süreç ve içsel mücadelesini merkeze alıyor. Bu zorlu dönemde Harley Quinn ile tanışması, ona hem romantik bir bağ hem de sanatsal bir keşif sunuyor.​  Film 4 Ekim 2024'te vizyona girdi ve IMDb puanı şu an 8.0 civarında. Yönetmenliğini Todd Phillips üstlenirken, senaryo Todd Phillips ve Scott Silver'a ait."
Bonhoeffer: Pastor. Spy. Assassin,"Dram, Tarih, Savaş",
Prey,"Aksiyon, Gerilim, Korku",
Avengers: Sonsuzluk Savaşı,"Macera, Aksiyon, Bilim-Kurgu","Kaptan Amerika ve Iron Man'in arasında yaşanan olayların ardından bölünen kahramanlarımız, birbirlerinden uzaklara savrulurlar. Hepsi kendi yandaşlarıyla dünyayı korumaya çalışmaktadır. Ancak dünyanın kaderi bir kez daha tehlikeye girer. Sınırsız bir güç kaynağı olan sonsuzluk taşlarının peşine düşen Thanos, dünyanın gördüğü en büyük tehdittir. İnsanlığın kaderi bir kez daha, insanlık için savaşmaya ant içmiş kahramanlarımız elindedir. Hiçbir süper kahramanın tek başına yenemeyeceği büyüklükteki bu tehdit için ekipler birleşmeli ve tehdide tüm güçleriyle karşı koymalıdır..."
Borderlands,"Aksiyon, Bilim-Kurgu, Komedi","Borderlands, 2009'da Gearbox stüdyosu tarafından piyasaya sürülen video oyununun uyarlamasından bir filmdir.  Kötü şöhretli kaçak lilith, Pandora adlı gezegenine döndükten sonra, ona tehlikeli bir görev verilir. Diğer suçlularla (eski paralı asker Roland, patlayıcı uzmanı Tiny Tina ve koruyucusu Krieg, çılgın bilim insanı Tannis ve esprili robot Claptrap olmak üzere) bir ittifak ve aynı zamanda ciddi bir arkadaşlık kurar. Görev: Güçlü bir adam olan Atlas'ın kayıp kızını bulmak ve korumaktır. Ancak her şey göründüğü gibi olmayabilir. Çünkü kız, evrenin kaderini değiştirebilecek büyük bir güce sahiptir."
Kalikot,Dram,
Knox Goes Away,"Suç, Gerilim, Aksiyon","Bir sözleşmeli katil, hızla ilerleyen bir demans türü teşhisi aldıktan sonra, yabancılaşmış yetişkin oğlunun hayatını kurtararak kendini affettirme fırsatı ile karşı karşıya kalır. Ancak bunu yapabilmek için, hem üzerine gelen polislerden hem de kendi hızla bozulan zihninin işleyen saatinden önce yarışmak zorundadır."
Juror #2,"Suç, Dram",
Ördeklerin Göçü,"Animasyon, Aksiyon, Macera, Komedi, Aile","Yeşilbaş ailesinin babası Mack, ailesini güvende tutmak için New England Göleti üzerinde sonsuza dek kanat çırpmaktan memnundur. Anne Page, bir şeyleri değiştirmek ve özellikle genç oğulları Dax ile yavru kızları Gwen’e tüm dünyayı göstermek ister. Göçmen bir ördek ailesinin uzak diyarların heyecanlı hikâyeleriyle göletlerine inmesinden sonra Pam, Mack’i New York üzerinden tropikal Jamaika’ya gidecekleri bir aile yolculuğuna çıkmaya ikna eder."
Arıcı: Ölüm Kovanı,"Suç, Aksiyon, Gerilim","Eski bir ajan olan Adam Clay, değer verdiği insanların bir dolandırıcılık planına kurban gitmesi üzerine intikam almaya karar verir. Dolandırıcıların daha büyük bir amaca hizmet ettiğini öğrenen Clay, bu işin kökünü kazımadan asla durmayacaktır. Fakat dolandırıcıların bilmediği şey, Adam Clay’in eski bir “Beekeeper” ajanı olduğu ve amacına ulaşana kadar kimsenin onu durduramayacağıdır."
Mickey: Her Gün Yeni Yıl,"Animasyon, Macera, Komedi, Aile","Mickey, her günün Noel olmasını diler - ama dileği gerçekleşince bu kararını sorgular!"
Beterböcek Beterböcek,"Komedi, Fantastik, Korku","Beklenmedik bir aile trajedisinin ardından, Deetz ailesinin üç nesli Winter River'daki evlerine geri döner. Beterböcek'in hâlâ peşini bırakmadığı Lydia'nın hayatı, asi genç kızı Astrid'in tavan arasındaki gizemli kasaba maketini keşfetmesi ve Öbür Dünya'ya açılan kapının kazara açılmasıyla altüst olur. Her iki âlemde de sorunlar baş gösterirken birinin Beterböcek'in adını üç kez söylemesi ve yaramaz iblisin kendi tarzı karmaşayı ortaya çıkarmak için geri dönmesi artık an meselesidir."
Hotel Desire,"Dram, Romantik","23 yaşındaki yönetmen Sergey Moya'nın kaleminden ve gözünden, bir otelde çalışan hizmetçi (Saralisa Volm) ile aynı otelde kalan kör ressam Julius'un (Clemens Schick) yaşadığı aşkın anlatıldığı, sinemalarda gösterilmeyip sadece internet üzerinden izleme olanağı sunulan erotik drama."
Harry Potter ve Felsefe Taşı,"Macera, Fantastik","Harry Potter, muggle (büyücü yada cadı olmayan insanlar) amcası ve halasıyla sıradan ve zorluklarla dolu bir hayatı yaşarken, yılanlarla konuşabildiğinin, kızgınlık öfkesi sırasında eşyaları hareket ettirebildiğinin farkına varacaktır. Hogwarts Büyücülük ve Cadılık Okulu'ndan kabul edildiğini belirten mektup ise hayatının sıradanlığını değiştirecektir. Artık o bir büyücü adayıdır."
SpongeBob Squarepants: Kreepaway Kamp,"TV film, Aile, Komedi, Korku, Animasyon","Yeniden bir araya gelmek için Koral Kampına giden Sünger Bob ve arkadaşları, gölgelerin arasında gizlenen gizemli bir figür tarafından takip edilirken, kampçılar birer birer kaybolmaya başlar."
Bizimle Başladı Bizimle Bitti,"Dram, Romantik","Travmatik bir çocukluğun üstesinden gelerek Boston'da yeni bir hayata başlayan ve kendi işini kurma hayalinin peşinden koşan Lily Bloom'un hikayesini konu alan filmde, Bloom büyüleyici beyin cerrahı Ryle Kincaid ile şans eseri karşılaşır. Kısa sürede aralarında yoğun bir bağ oluşur ve derin bir aşk başlar. Ancak bir süre sonra ilişkilerinde sorunlar ortaya çıkar."
劇場版「オーバーロード」聖王国編,"Aksiyon, Macera, Animasyon, Fantastik",
The Killer's Game,"Aksiyon, Komedi, Suç","Hikâye, ölümcül bir hastalık teşhisi konulan suikastçı Joe Flood’un, kendisine yönelik bir suikast düzenlemeye karar vermesiyle başlar. Ancak daha sonra yanlış teşhis edildiğini öğrenir ve kiraladığı suikastçılar tarafından hedef alınır. Joe, eski sevgilisi Macy’yi korumak ve hayatta kalmak için eski meslektaşlarına karşı savaşmak zorunda kalır. Birlikte Avrupa’yı dolaşarak kaçmaya çalışırlar."
Haz,Dram,"19 yaşındaki Linnéa, İsveç’te yaşayan genç bir kadındır. Porno yıldızı olmak isteyen Jessica, amacına ulaşmak için küçük kasabasından ayrılarak Los Angeles’a gider. Ancak hedefine giden yol, Jessica’nın sandığından daha karmaşıktır."
Battle for the Western Front,Savaş,
xXx,"Aksiyon, Macera, Gerilim, Suç","Xander Cage kazancını heyecan yaratan maceralarının video kayıtlarını internete satarak sağlamaktadır ve hayranları da çok fazladır. ancak yasalara uymadığından da sayısız suçu vardır. Xander 'in bilmediği ise Ulusal Güvenlik Ajansı'na bağlı deneyimli ve eski bir ajan olan Augutus Gibbons tarafından izlendiğidir.Ajan Gibbons ve Ulusal Güvenlik uzaklarda, Prag'da umutsuz bir durumla karşı karşıyadırlar. Ajansın yeraltındaki gizli ajanı kendilerine Anarşi 99 adı verilen acımasız bir çete tarafından öldürülmüştür. Ve Gibbons'un Prag'a gidecek ve yeraltına inip bu çetenin kurallarına göre oynayarak onların dünyayı yok etmek için yaptığı planları öğrenmesine ve yok etmesini sağlayacak yeni bir ajana ihtiyacı vardır.Ajan Xander Cage, kod adı XXX..."
Arıcı: Ölüm Kovanı,"Suç, Aksiyon, Gerilim","Eski bir ajan olan Adam Clay, değer verdiği insanların bir dolandırıcılık planına kurban gitmesi üzerine intikam almaya karar verir. Dolandırıcıların daha büyük bir amaca hizmet ettiğini öğrenen Clay, bu işin kökünü kazımadan asla durmayacaktır. Fakat dolandırıcıların bilmediği şey, Adam Clay’in eski bir “Beekeeper” ajanı olduğu ve amacına ulaşana kadar kimsenin onu durduramayacağıdır."
Penceremden,"Romantik, Dram, Komedi","Genç bir kız olan Raquel, gönlünü yakışıklı komşusu Ares'e kaptırır. Çocukluğundan beri hissettiği duygularını kimseyle paylaşmayan Raquel, henüz Ares ile konuşmamıştır. Utangaç bir genç olan Raquel, Ares'i sadece gizlice izlemekle yetinir. Ancak artık Ares'i kendisine aşık etmeye karar verir ve harekete geçer."
39 Derecede Aşk,"Romantik, Dram, Komedi","Hırslı ve başarılı bir avukat olan Kumru ve tutkusunun peşinden giderek müzisyen olan Fatih’in hayatları beklenmedik bir şekilde kesişir. Kumru’nun üstlendiği yüksek profilli boşanma davası, onu tekrar İzmir’e getirir. Boşanma davasının karmaşık bir hal almasıyla zıt karakterlere sahip ikili İzmir sokaklarında bir koşuşturmaya başlar."
Kardeşler,"Aksiyon, Komedi, Suç","Kardeşler, ıslah olmuş bir suçlunun (Josh Brolin), akıl sağlığını test eden ikiz kardeşiyle (Peter Dinklage) hayatının volisini vurmak için bir yolculuğa çıktığında, düzelme girişiminin raydan çıkmasını anlatıyor. Yol boyunca kurşunlardan, kanundan ve zorba bir anneden kaçan ikiz kardeşler, birbirlerini öldürmeden önce kopan aile bağlarını iyileştirmek zorundadır."
